series_id,item_code,label,category,area_code,area_label,year,month,date,value
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,1,2017-01-01,0.53
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,2,2017-02-01,0.526
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,3,2017-03-01,0.531
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,4,2017-04-01,0.516
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,5,2017-05-01,0.517
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,6,2017-06-01,0.507
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,7,2017-07-01,0.512
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,8,2017-08-01,0.512
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,9,2017-09-01,0.505
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,10,2017-10-01,0.5
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,11,2017-11-01,0.469
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2017,12,2017-12-01,0.462
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,1,2018-01-01,0.471
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,2,2018-02-01,0.47
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,3,2018-03-01,0.468
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,4,2018-04-01,0.472
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,5,2018-05-01,0.469
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,6,2018-06-01,0.469
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,7,2018-07-01,0.468
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,8,2018-08-01,0.464
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,9,2018-09-01,0.467
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,10,2018-10-01,0.453
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,11,2018-11-01,0.433
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2018,12,2018-12-01,0.437
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,1,2019-01-01,0.439
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,2,2019-02-01,0.443
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,3,2019-03-01,0.445
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,4,2019-04-01,0.434
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,5,2019-05-01,0.454
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,6,2019-06-01,0.448
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,7,2019-07-01,0.454
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,8,2019-08-01,0.45
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,9,2019-09-01,0.449
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,10,2019-10-01,0.432
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,11,2019-11-01,0.417
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2019,12,2019-12-01,0.429
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2020,1,2020-01-01,0.438
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2020,2,2020-02-01,0.438
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2020,3,2020-03-01,0.442
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2020,5,2020-05-01,0.461
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2020,6,2020-06-01,0.468
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2020,7,2020-07-01,0.461
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2020,8,2020-08-01,0.459
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2020,9,2020-09-01,0.451
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2020,10,2020-10-01,0.452
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2020,11,2020-11-01,0.445
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2020,12,2020-12-01,0.45
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,1,2021-01-01,0.446
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,2,2021-02-01,0.44
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,3,2021-03-01,0.436
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,4,2021-04-01,0.437
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,5,2021-05-01,0.439
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,6,2021-06-01,0.356
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,7,2021-07-01,0.368
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,8,2021-08-01,0.371
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,9,2021-09-01,0.382
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,10,2021-10-01,0.396
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,11,2021-11-01,0.386
APU0000701111,701111,"Flour, white, all-purpose, lb","Cereals/bakery",0000,"U.S. city average",2021,12,2021-12-01,0.388
